Run 0,-,-,-,0.655,-,-,0.464,-,-,-,-,-,-,-,-,-,-,-,0.553,-,-,-,0.515,-,0.54,-,-,0.534,-,-
Run 1,-,-,-,-,-,-,-,0.457,-,0.424,-,-,-,0.519,-,-,-,-,-,-,0.482,-,-,0.556,-,-,0.52,-,-,-
Run 2,-,-,-,0.491,-,-,-,-,0.544,-,-,-,-,-,-,0.552,-,0.631,-,-,-,-,-,0.936,-,-,-,-,-,0.636
Run 3,-,-,-,-,-,-,-,0.552,-,-,-,-,-,0.571,-,-,-,-,0.592,-,-,-,0.559,-,-,0.523,-,0.612,-,-
Run 4,-,-,-,-,-,-,-,-,-,0.751,-,-,0.588,-,Missed,Wrong,-,-,0.495,-,-,-,-,-,0.529,-,0.818,-,-,-
Run 5,-,-,-,-,-,-,-,-,-,-,-,-,0.594,-,-,0.64,-,-,-,0.613,-,-,0.544,-,-,-,0.403,-,-,0.575
Run 6,-,-,-,0.562,-,-,-,-,-,-,0.671,-,0.674,-,-,0.607,-,-,0.544,-,-,-,-,-,-,-,0.609,-,-,-
Run 7,-,-,-,-,-,-,-,-,-,-,0.571,-,0.596,-,-,0.58,-,0.666,-,-,-,-,-,0.497,-,-,-,0.606,-,-
Run 8,-,-,0.615,-,-,-,-,-,-,-,0.441,-,-,0.632,-,0.615,-,-,0.611,-,-,-,-,-,-,-,-,-,-,0.951
Run 9,-,-,0.585,-,-,-,0.509,-,0.507,-,-,-,-,0.518,-,-,0.405,-,-,-,-,-,-,-,-,-,0.541,-,-,-
