Run 0,-,-,Missed,-,0.376,-,0.623,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.352,-,-,0.404,-,-,0.291,-,-
Run 1,-,-,0.365,-,-,0.341,-,-,-,-,0.291,-,-,0.33,-,-,-,-,0.351,-,-,-,-,-,-,-,-,0.388,-,-
Run 2,-,-,-,-,0.293,-,-,-,0.387,-,-,-,0.3,-,-,-,0.251,-,0.4,-,-,-,-,-,-,-,-,Missed,Wrong,-
Run 3,-,-,-,-,0.326,-,-,-,0.262,-,-,0.384,-,-,-,-,0.319,-,-,-,-,-,0.295,-,-,-,-,-,-,0.267
Run 4,-,-,0.414,-,-,-,0.272,-,0.364,-,0.301,-,-,-,-,-,-,-,-,-,-,0.35,-,-,-,0.285,-,-,-,-
Run 5,-,-,-,0.473,-,-,-,-,-,0.412,-,-,-,-,-,0.284,-,-,-,-,0.358,-,-,0.537,-,0.956,-,-,-,-
Run 6,-,-,-,0.761,-,Missed,Wrong,Missed,Wrong,-,-,-,-,-,-,0.362,-,0.752,-,-,-,-,-,-,-,0.303,-,-,-,-
Run 7,-,-,-,-,-,-,-,0.294,-,-,-,0.291,-,-,-,0.247,-,-,-,-,-,-,Wrong,-,Missed,Wrong,-,0.424,-,0.454
Run 8,-,-,-,-,0.382,-,-,0.298,-,0.305,-,-,-,-,-,0.353,-,0.356,-,-,-,-,-,-,-,-,-,-,-,0.326
Run 9,-,-,0.74,-,-,-,-,-,0.364,-,-,-,-,-,-,0.298,-,-,-,-,0.351,-,0.392,-,-,-,-,-,0.517,-
