Run 0,-,-,-,-,0.336,-,-,-,0.27,-,-,-,-,-,-,-,-,-,-,0.355,-,-,0.293,-,-,0.468,-,-,-,0.415
Run 1,-,Wrong,-,-,-,-,-,-,-,-,0.312,-,-,0.318,-,-,0.28,-,-,-,0.29,-,-,-,0.293,-,-,0.345,-,-
Run 2,Wrong,-,-,0.262,-,-,0.271,-,-,-,-,-,0.364,-,-,-,0.218,-,0.259,-,-,Wrong,-,-,-,-,-,0.236,-,-
Run 3,-,-,-,-,-,0.248,-,-,Missed,-,-,-,0.245,-,-,-,-,0.285,-,-,-,0.288,-,-,-,-,0.242,-,-,-
Run 4,-,-,-,-,0.269,-,0.339,-,-,-,-,-,0.292,-,-,-,0.358,-,-,-,-,-,0.329,-,-,-,-,-,-,0.265
Run 5,Wrong,-,-,-,0.31,-,0.285,-,-,-,0.279,-,-,0.342,-,-,-,0.292,-,-,-,0.248,-,-,-,-,-,-,-,-
Run 6,-,-,-,-,-,-,-,0.266,-,0.305,-,0.293,-,-,-,-,-,-,0.329,-,-,-,-,-,0.272,-,0.301,-,-,-
Run 7,-,-,-,-,0.3,-,0.3,-,-,-,-,-,-,0.312,-,-,-,0.249,-,-,-,0.291,-,0.341,-,-,-,-,-,-
Run 8,-,-,0.295,-,-,-,-,-,0.275,-,-,-,-,0.238,-,-,-,-,0.258,-,-,-,-,-,-,0.267,-,0.458,-,-
Run 9,-,-,-,-,-,0.254,-,-,-,0.279,-,-,0.302,-,-,-,-,0.242,-,-,0.376,-,-,-,-,0.304,-,-,-,-
