Run 0,-,-,-,-,-,-,-,-,-,-,0.421,-,-,-,0.402,-,-,-,-,-,0.404,-,-,0.49,-,-,-,0.487,-,0.467
Run 1,-,-,-,-,-,-,-,-,0.321,-,-,-,-,-,0.403,-,0.455,-,0.429,-,-,-,0.782,-,-,-,0.511,-,-,-
Run 2,-,-,0.645,-,-,-,0.413,-,0.5,-,-,-,-,0.479,-,-,-,-,-,-,-,-,-,-,-,0.38,-,0.355,-,-
Run 3,-,-,-,-,-,-,-,-,-,-,Missed,-,Missed,-,-,-,-,-,-,-,Missed,-,Missed,-,-,-,-,Missed,-,Missed
Run 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
