Run 0,-,-,-,-,0.478,-,-,-,-,-,-,-,0.318,-,-,-,-,-,0.278,-,-,-,0.282,-,0.366,-,-,-,-,0.328
Run 1,Wrong,-,-,0.294,-,-,-,-,-,-,-,0.313,-,-,0.43,-,-,-,-,-,0.312,-,-,-,-,-,0.35,-,-,0.391
Run 2,-,-,0.438,-,-,-,-,-,-,-,-,-,-,0.322,-,-,-,-,0.428,-,-,0.38,-,-,-,-,-,0.321,-,0.407
Run 3,-,-,0.395,-,-,-,0.373,-,0.372,-,-,0.324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.312,-,-,0.342
Run 4,-,-,-,-,0.354,-,0.363,-,-,0.377,-,0.312,-,-,-,-,-,-,-,-,-,-,-,-,-,0.356,-,-,0.348,-
Run 5,-,-,-,0.324,-,0.39,-,-,-,-,0.339,-,-,0.415,-,-,-,-,-,-,-,-,-,-,0.388,-,-,-,0.374,-
Run 6,-,-,-,-,-,0.532,-,-,-,-,-,-,-,0.283,-,-,-,0.371,-,-,-,-,-,0.334,-,0.362,-,0.357,-,-
Run 7,-,-,-,0.383,-,-,0.367,-,-,0.333,-,0.271,-,-,-,-,-,-,-,0.321,-,-,-,-,0.35,-,-,-,-,-
Run 8,-,-,0.386,-,-,-,-,-,-,-,-,0.259,-,0.331,-,0.481,-,-,-,-,-,-,-,0.299,-,-,-,0.316,-,-
Run 9,-,-,0.351,-,-,-,-,-,-,0.347,-,-,-,0.331,-,-,-,0.308,-,-,-,0.285,-,-,0.354,-,-,-,-,-
