Run 0,-,-,-,Missed,-,-,-,-,-,-,0.358,-,-,-,0.288,-,-,-,0.274,-,-,-,0.303,-,-,-,-,-,0.317,-
Run 1,-,-,-,0.243,-,0.437,-,-,-,-,-,0.281,-,-,0.334,-,-,-,-,0.298,-,-,-,0.27,-,-,-,-,-,-
Run 2,-,-,-,-,-,-,0.279,-,-,-,-,0.371,-,0.397,-,-,-,-,-,-,0.311,-,-,-,-,0.302,-,-,-,0.32
Run 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.455,-,-,-,-,0.456,-,0.603,-,0.549,-,0.606,-,0.431,-,-
Run 4,-,-,-,-,-,-,0.307,-,-,0.343,-,-,-,-,-,0.328,-,-,-,-,-,0.311,-,0.347,-,0.487,-,-,-,-
Run 5,-,-,-,-,-,0.326,-,-,-,-,-,-,-,-,-,0.317,-,-,-,-,-,0.373,-,0.406,-,0.343,-,-,0.346,-
Run 6,-,-,0.785,-,-,-,-,-,-,-,-,-,0.329,-,-,0.324,-,0.435,-,0.254,-,-,-,-,-,-,-,0.329,-,-
Run 7,-,-,-,-,-,-,0.326,-,-,0.393,-,-,-,-,0.398,-,-,-,0.36,-,0.352,-,-,-,Wrong,0.579,-,-,-,-
Run 8,-,-,0.597,-,-,0.325,-,-,0.317,-,-,-,-,-,-,-,-,-,-,-,-,-,0.429,-,-,-,0.387,-,-,0.361
Run 9,-,-,-,-,-,-,0.368,-,-,-,-,-,-,-,0.276,-,-,0.412,-,-,-,-,-,0.343,-,-,-,0.324,-,0.338
